   z       f1     W1-W2   W1-W3  W3-W4   W2-W3 
 0.17650    0.641    0.223   -0.026   -0.272   -0.249
 0.17700    0.640    0.223   -0.026   -0.272   -0.249
 0.17750    0.639    0.223   -0.027   -0.270   -0.250
 0.17800    0.639    0.225   -0.026   -0.269   -0.251
 0.17850    0.638    0.224   -0.028   -0.268   -0.252
 0.17900    0.637    0.225   -0.027   -0.269   -0.252
 0.17950    0.636    0.225   -0.027   -0.268   -0.252
 0.18000    0.636    0.226   -0.027   -0.267   -0.253
 0.18050    0.635    0.226   -0.028   -0.266   -0.254
 0.18100    0.634    0.227   -0.027   -0.266   -0.254
 0.18150    0.633    0.227   -0.029   -0.264   -0.256
 0.18200    0.632    0.227   -0.030   -0.263   -0.257
 0.18250    0.632    0.228   -0.028   -0.263   -0.256
 0.18300    0.631    0.228   -0.029   -0.262   -0.257
 0.18350    0.630    0.228   -0.030   -0.261   -0.258
 0.18400    0.629    0.229   -0.029   -0.261   -0.258
 0.18450    0.629    0.230   -0.029   -0.260   -0.259
 0.18500    0.628    0.230   -0.030   -0.259   -0.260
 0.18550    0.626    0.230   -0.032   -0.257   -0.262
 0.18600    0.626    0.230   -0.032   -0.257   -0.262
 0.18650    0.625    0.231   -0.031   -0.256   -0.262
 0.18700    0.624    0.231   -0.032   -0.255   -0.263
 0.18750    0.624    0.231   -0.032   -0.254   -0.263
 0.18800    0.622    0.231   -0.033   -0.253   -0.264
 0.18850    0.622    0.232   -0.033   -0.253   -0.265
 0.18900    0.621    0.232   -0.033   -0.252   -0.265
 0.18950    0.620    0.232   -0.034   -0.250   -0.266
 0.19000    0.619    0.232   -0.035   -0.249   -0.267
 0.19050    0.619    0.233   -0.035   -0.249   -0.268
 0.19100    0.618    0.233   -0.035   -0.248   -0.268
 0.19150    0.617    0.233   -0.036   -0.246   -0.269
 0.19200    0.616    0.233   -0.037   -0.245   -0.270
 0.19250    0.616    0.234   -0.036   -0.244   -0.270
 0.19300    0.615    0.235   -0.036   -0.244   -0.271
 0.19350    0.614    0.235   -0.036   -0.242   -0.271
 0.19400    0.613    0.234   -0.039   -0.240   -0.273
 0.19450    0.612    0.235   -0.038   -0.240   -0.273
 0.19500    0.612    0.236   -0.038   -0.239   -0.274
 0.19550    0.611    0.236   -0.039   -0.237   -0.275
 0.19600    0.610    0.236   -0.039   -0.236   -0.275
 0.19650    0.609    0.236   -0.039   -0.236   -0.275
 0.19700    0.608    0.237   -0.039   -0.234   -0.276
 0.19750    0.608    0.237   -0.040   -0.233   -0.277
 0.19800    0.607    0.237   -0.041   -0.231   -0.278
 0.19850    0.606    0.237   -0.042   -0.230   -0.279
 0.19900    0.605    0.237   -0.042   -0.229   -0.279
 0.19950    0.605    0.238   -0.042   -0.228   -0.280
 0.20000    0.604    0.238   -0.042   -0.227   -0.280
 0.20050    0.603    0.238   -0.043   -0.226   -0.281
 0.20100    0.602    0.238   -0.044   -0.225   -0.282
 0.20150    0.601    0.239   -0.044   -0.223   -0.283
 0.20200    0.600    0.239   -0.045   -0.221   -0.284
 0.20250    0.600    0.239   -0.045   -0.221   -0.284
 0.20300    0.599    0.239   -0.046   -0.219   -0.285
 0.20350    0.598    0.239   -0.047   -0.218   -0.286
 0.20400    0.597    0.239   -0.047   -0.217   -0.286
 0.20450    0.596    0.239   -0.048   -0.216   -0.287
 0.20500    0.595    0.239   -0.048   -0.216   -0.287
 0.20550    0.594    0.239   -0.048   -0.214   -0.287
 0.20600    0.594    0.239   -0.050   -0.212   -0.289
 0.20650    0.593    0.240   -0.049   -0.211   -0.289
 0.20700    0.592    0.240   -0.050   -0.210   -0.290
 0.20750    0.591    0.240   -0.051   -0.209   -0.291
 0.20800    0.591    0.240   -0.051   -0.208   -0.291
 0.20850    0.590    0.241   -0.050   -0.208   -0.291
 0.20900    0.589    0.241   -0.050   -0.207   -0.291
 0.20950    0.588    0.240   -0.052   -0.206   -0.292
 0.21000    0.588    0.241   -0.051   -0.205   -0.292
 0.21050    0.587    0.242   -0.052   -0.204   -0.294
 0.21100    0.586    0.241   -0.053   -0.202   -0.294
 0.21150    0.585    0.241   -0.054   -0.201   -0.295
 0.21200    0.584    0.241   -0.054   -0.202   -0.295
 0.21250    0.584    0.241   -0.054   -0.201   -0.295
 0.21300    0.583    0.242   -0.054   -0.200   -0.296
 0.21350    0.582    0.242   -0.054   -0.199   -0.296
 0.21400    0.581    0.242   -0.055   -0.198   -0.297
 0.21450    0.580    0.242   -0.056   -0.197   -0.298
 0.21500    0.580    0.242   -0.057   -0.195   -0.299
 0.21550    0.579    0.243   -0.056   -0.195   -0.299
 0.21600    0.578    0.242   -0.057   -0.195   -0.299
 0.21650    0.577    0.242   -0.058   -0.194   -0.300
 0.21700    0.577    0.243   -0.057   -0.193   -0.300
 0.21750    0.576    0.242   -0.059   -0.192   -0.301
 0.21800    0.574    0.241   -0.060   -0.192   -0.301
 0.21850    0.574    0.242   -0.061   -0.190   -0.303
 0.21900    0.573    0.242   -0.060   -0.190   -0.302
 0.21950    0.572    0.242   -0.061   -0.189   -0.303
 0.22000    0.571    0.241   -0.062   -0.188   -0.303
 0.22050    0.571    0.242   -0.061   -0.188   -0.303
 0.22100    0.570    0.242   -0.062   -0.187   -0.304
 0.22150    0.569    0.241   -0.064   -0.186   -0.305
 0.22200    0.568    0.242   -0.063   -0.186   -0.305
 0.22250    0.567    0.242   -0.064   -0.185   -0.306
 0.22300    0.566    0.241   -0.065   -0.184   -0.306
 0.22350    0.565    0.241   -0.066   -0.183   -0.307
 0.22400    0.565    0.242   -0.065   -0.184   -0.307
 0.22450    0.564    0.241   -0.067   -0.183   -0.308
 0.22500    0.563    0.241   -0.067   -0.181   -0.308
 0.22550    0.562    0.242   -0.067   -0.181   -0.309
 0.22600    0.562    0.242   -0.067   -0.180   -0.309
 0.22650    0.561    0.241   -0.068   -0.180   -0.309
 0.22700    0.560    0.241   -0.069   -0.179   -0.310
 0.22750    0.559    0.241   -0.070   -0.178   -0.311
 0.22800    0.558    0.241   -0.071   -0.177   -0.312
 0.22850    0.558    0.242   -0.070   -0.177   -0.312
 0.22900    0.557    0.242   -0.070   -0.176   -0.312
 0.22950    0.556    0.242   -0.071   -0.176   -0.313
 0.23000    0.555    0.241   -0.073   -0.175   -0.314
 0.23050    0.555    0.242   -0.072   -0.175   -0.314
 0.23100    0.554    0.242   -0.073   -0.174   -0.315
 0.23150    0.553    0.242   -0.074   -0.172   -0.316
 0.23200    0.552    0.242   -0.074   -0.172   -0.316
 0.23250    0.552    0.242   -0.074   -0.172   -0.316
 0.23300    0.551    0.242   -0.075   -0.171   -0.317
 0.23350    0.550    0.242   -0.075   -0.170   -0.317
 0.23400    0.549    0.242   -0.076   -0.169   -0.318
 0.23450    0.548    0.242   -0.076   -0.169   -0.318
 0.23500    0.547    0.241   -0.079   -0.167   -0.320
 0.23550    0.547    0.242   -0.078   -0.167   -0.320
